bite_sisters_10	10_001_0.00.00.431	[sound:bite_sisters_10_0.00.00.431-0.00.04.196.mp3]	<img src="bite_sisters_10_0.00.02.314.jpg">	["운명의 기복은 친구의 신뢰를 시험한다" - 키케로]	["The shifts of Fortune test the reliability of friends" - Cicero]
bite_sisters_10	10_002_0.00.06.967	[sound:bite_sisters_10_0.00.06.967-0.00.09.124.mp3]	<img src="bite_sisters_10_0.00.08.046.jpg">	나는 언제부터 존재했지?	Since when did I exist?
bite_sisters_10	10_003_0.00.10.352	[sound:bite_sisters_10_0.00.10.352-0.00.11.832.mp3]	<img src="bite_sisters_10_0.00.11.092.jpg">	운명의 기복	The shifts of Fortune...
bite_sisters_10	10_004_0.00.15.238	[sound:bite_sisters_10_0.00.15.238-0.00.16.464.mp3]	<img src="bite_sisters_10_0.00.15.851.jpg">	그따위 꺼	Such a thing does not even come to me anymore
bite_sisters_10	10_005_0.00.17.133	[sound:bite_sisters_10_0.00.17.133-0.00.20.291.mp3]	<img src="bite_sisters_10_0.00.18.712.jpg">	수없이 닥쳐오다 지들도 지쳤는지	they must have been exhausted themselves
bite_sisters_10	10_006_0.00.20.946	[sound:bite_sisters_10_0.00.20.946-0.00.22.865.mp3]	<img src="bite_sisters_10_0.00.21.906.jpg">	이제 난 건드리지도 않는다.	after so many shifts
bite_sisters_10	10_007_0.00.24.161	[sound:bite_sisters_10_0.00.24.161-0.00.25.880.mp3]	<img src="bite_sisters_10_0.00.25.021.jpg">	파도가 치지 않으니	A peaceful life
bite_sisters_10	10_008_0.00.26.274	[sound:bite_sisters_10_0.00.26.274-0.00.27.989.mp3]	<img src="bite_sisters_10_0.00.27.132.jpg">	시험당할 이도 없는	where there's no waves
bite_sisters_10	10_009_0.00.28.374	[sound:bite_sisters_10_0.00.28.374-0.00.30.188.mp3]	<img src="bite_sisters_10_0.00.29.281.jpg">	평온한 라이프.	thus no one is put to the test.
bite_sisters_10	10_010_0.00.31.324	[sound:bite_sisters_10_0.00.31.324-0.00.32.351.mp3]	<img src="bite_sisters_10_0.00.31.838.jpg">	그래서 난	So
bite_sisters_10	10_011_0.00.36.233	[sound:bite_sisters_10_0.00.36.233-0.00.38.240.mp3]	<img src="bite_sisters_10_0.00.37.237.jpg">	대체 언제부터 존재했지?	since when did I exist?
bite_sisters_10	10_012_0.00.38.855	[sound:bite_sisters_10_0.00.38.855-0.00.43.768.mp3]	<img src="bite_sisters_10_0.00.41.312.jpg">	[바이트 씨스터즈]	[BITE SISTERS]
bite_sisters_10	10_013_0.01.08.776	[sound:bite_sisters_10_0.01.08.776-0.01.11.515.mp3]	<img src="bite_sisters_10_0.01.10.146.jpg">	이제 이런 인형 놀이도 좀 지겹네.	I'm tired of this doll playing now.
bite_sisters_10	10_014_0.01.13.083	[sound:bite_sisters_10_0.01.13.083-0.01.13.861.mp3]	<img src="bite_sisters_10_0.01.13.472.jpg">	어때?	How do I look?
bite_sisters_10	10_015_0.01.13.862	[sound:bite_sisters_10_0.01.13.862-0.01.14.574.mp3]	<img src="bite_sisters_10_0.01.14.218.jpg">	근데	I think
bite_sisters_10	10_016_0.01.14.820	[sound:bite_sisters_10_0.01.14.820-0.01.16.056.mp3]	<img src="bite_sisters_10_0.01.15.438.jpg">	조금	it looks a little
bite_sisters_10	10_017_0.01.16.057	[sound:bite_sisters_10_0.01.16.057-0.01.17.085.mp3]	<img src="bite_sisters_10_0.01.16.571.jpg">	큰 거 같다?	big on you
bite_sisters_10	10_018_0.01.17.334	[sound:bite_sisters_10_0.01.17.334-0.01.18.209.mp3]	<img src="bite_sisters_10_0.01.17.772.jpg">	저기 사장님!	Excuse me!
bite_sisters_10	10_019_0.01.18.812	[sound:bite_sisters_10_0.01.18.812-0.01.20.425.mp3]	<img src="bite_sisters_10_0.01.19.619.jpg">	이거 더 작은 사이즈 있어요?	Do you have a small size?
bite_sisters_10	10_020_0.01.27.725	[sound:bite_sisters_10_0.01.27.725-0.01.28.512.mp3]	<img src="bite_sisters_10_0.01.28.119.jpg">	있어요.	We do.
bite_sisters_10	10_021_0.01.28.513	[sound:bite_sisters_10_0.01.28.513-0.01.29.251.mp3]	<img src="bite_sisters_10_0.01.28.882.jpg">	44반?	44 half?
bite_sisters_10	10_022_0.01.32.887	[sound:bite_sisters_10_0.01.32.887-0.01.33.296.mp3]	<img src="bite_sisters_10_0.01.33.092.jpg">	네!	Yes!
bite_sisters_10	10_023_0.01.33.297	[sound:bite_sisters_10_0.01.33.297-0.01.34.069.mp3]	<img src="bite_sisters_10_0.01.33.683.jpg">	아 네.	Oh, yes.
bite_sisters_10	10_024_0.01.35.677	[sound:bite_sisters_10_0.01.35.677-0.01.36.226.mp3]	<img src="bite_sisters_10_0.01.35.952.jpg">	예쁘다.	It looks good.
bite_sisters_10	10_025_0.01.36.227	[sound:bite_sisters_10_0.01.36.227-0.01.36.821.mp3]	<img src="bite_sisters_10_0.01.36.524.jpg">	맘에 들어.	I like it.
bite_sisters_10	10_026_0.01.36.822	[sound:bite_sisters_10_0.01.36.822-0.01.37.445.mp3]	<img src="bite_sisters_10_0.01.37.134.jpg">	응.	Yeah.
bite_sisters_10	10_027_0.01.42.566	[sound:bite_sisters_10_0.01.42.566-0.01.43.448.mp3]	<img src="bite_sisters_10_0.01.43.007.jpg">	그만두면	You said you'd kill if
bite_sisters_10	10_028_0.01.43.449	[sound:bite_sisters_10_0.01.43.449-0.01.44.509.mp3]	<img src="bite_sisters_10_0.01.43.979.jpg">	죽인다면서?	he quits.
bite_sisters_10	10_029_0.01.45.770	[sound:bite_sisters_10_0.01.45.770-0.01.47.622.mp3]	<img src="bite_sisters_10_0.01.46.696.jpg">	네가 가서 죽일래 그럼?	Do you wanna kill him yourself then?
bite_sisters_10	10_030_0.01.49.184	[sound:bite_sisters_10_0.01.49.184-0.01.50.056.mp3]	<img src="bite_sisters_10_0.01.49.620.jpg">	그럴까?	Should I?
bite_sisters_10	10_031_0.01.54.499	[sound:bite_sisters_10_0.01.54.499-0.01.55.323.mp3]	<img src="bite_sisters_10_0.01.54.911.jpg">	왜? 뭐.	What is it?
bite_sisters_10	10_032_0.01.55.783	[sound:bite_sisters_10_0.01.55.783-0.01.57.048.mp3]	<img src="bite_sisters_10_0.01.56.416.jpg">	귀여운 것.	How cute.
bite_sisters_10	10_033_0.01.58.123	[sound:bite_sisters_10_0.01.58.123-0.01.59.558.mp3]	<img src="bite_sisters_10_0.01.58.841.jpg">	아 왜!	What?
bite_sisters_10	10_034_0.01.59.802	[sound:bite_sisters_10_0.01.59.802-0.02.02.120.mp3]	<img src="bite_sisters_10_0.02.00.961.jpg">	고작 백 년도 안 사는 인간 하나 가지고	Look at you being so flustered
bite_sisters_10	10_035_0.02.02.121	[sound:bite_sisters_10_0.02.02.121-0.02.03.688.mp3]	<img src="bite_sisters_10_0.02.02.905.jpg">	어쩔 줄 몰라 하는 게	just over a silly human being that cannot even live up to a century.
bite_sisters_10	10_036_0.02.04.368	[sound:bite_sisters_10_0.02.04.368-0.02.05.802.mp3]	<img src="bite_sisters_10_0.02.05.085.jpg">	귀엽지 안 귀엽니?	How can't that be not cute?
bite_sisters_10	10_037_0.02.09.508	[sound:bite_sisters_10_0.02.09.508-0.02.13.172.mp3]	<img src="bite_sisters_10_0.02.11.340.jpg">	언니도 소싯적에 귀여운 짓 꽤 한 걸로 알고 있는데 내가	But I know that you've also done some cute things when you were younger.
